Date,Time,department_abbreviation,department_name,service_name,call_resolution,zip_code
2014-01-01T00:00:00,11:43:22,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90025
2014-01-01T00:00:00,11:44:30,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90012
2014-01-01T00:00:00,11:45:31,,,,Caller Hung Up,
2014-01-01T00:00:00,11:45:35,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90036
2014-01-01T00:00:00,11:47:10,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91406
2014-01-01T00:00:00,11:50:15,,,,Gave Caller Information,91352
2014-01-01T00:00:00,11:50:40,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),90065
2014-01-01T00:00:00,11:50:58,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91406
2014-01-01T00:00:00,11:51:43,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90650
2014-01-01T00:00:00,11:51:47,,,,Transfer (City),90805
2014-01-01T00:00:00,11:52:02,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90069
2014-01-01T00:00:00,11:52:32,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90041
2014-01-01T00:00:00,11:52:53,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),90065
2014-01-01T00:00:00,11:55:06,LAPD,Los Angeles Police Department,"Traffic Divisions, Front Desk (4 Bureaus)",Gave Caller Information,90034
2014-01-01T00:00:00,11:55:21,,,,Static/Ghost Call,99999
2014-01-01T00:00:00,11:55:39,LADBS,Department of Building and Safety,Building Construction Permits,Transfer (City),90011
2014-01-01T00:00:00,11:56:03,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91335
2014-01-01T00:00:00,11:56:21,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90012
2014-01-01T00:00:00,11:56:28,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,11:58:23,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Gave Caller Information,90291
2014-01-01T00:00:00,11:58:46,,,,Referred To County,90059
2014-01-01T00:00:00,11:59:30,,,,Caller Hung Up,
2014-01-01T00:00:00,12:02:23,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90039
2014-01-01T00:00:00,12:06:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91352
2014-01-01T00:00:00,12:06:22,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,12:06:55,,,,Referred To 411,91423
2014-01-01T00:00:00,12:08:02,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90037
2014-01-01T00:00:00,12:09:38,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:10:56,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90028
2014-01-01T00:00:00,12:11:18,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:11:27,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90012
2014-01-01T00:00:00,12:11:31,LAPD,Los Angeles Police Department,Official Police Garage Tow (OPG) - LAPD,Gave Caller Information,91304
2014-01-01T00:00:00,12:11:40,BOS,PW/Bureau of Sanitation,Dead Animal Collection,Gave Caller Information,90023
2014-01-01T00:00:00,12:12:19,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:12:55,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),90025
2014-01-01T00:00:00,12:13:47,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90005
2014-01-01T00:00:00,12:13:51,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:15:22,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90029
2014-01-01T00:00:00,12:15:26,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,12:16:48,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91601
2014-01-01T00:00:00,12:17:09,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:17:42,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,12:17:51,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91040
2014-01-01T00:00:00,12:18:33,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:18:43,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91040
2014-01-01T00:00:00,12:18:48,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90059
2014-01-01T00:00:00,12:19:07,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90247
2014-01-01T00:00:00,12:19:15,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90066
2014-01-01T00:00:00,12:19:36,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Transfer (City),90014
2014-01-01T00:00:00,12:20:02,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91601
2014-01-01T00:00:00,12:22:00,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90012
2014-01-01T00:00:00,12:22:31,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91325
2014-01-01T00:00:00,12:23:31,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:23:57,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,12:24:35,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90023
2014-01-01T00:00:00,12:25:34,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90039
2014-01-01T00:00:00,12:26:35,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90042
2014-01-01T00:00:00,12:26:49,,,,Referred To County,90012
2014-01-01T00:00:00,12:27:53,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90028
2014-01-01T00:00:00,12:28:05,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:28:20,AGE,Department of Aging,Referral for Questions about Medicare,Gave Caller Information,90008
2014-01-01T00:00:00,12:28:45,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91345
2014-01-01T00:00:00,12:30:28,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91325
2014-01-01T00:00:00,12:31:33,BSS,PW/Bureau of Street Services,Bureau of Street Services Complaints,Gave Caller Information,90043
2014-01-01T00:00:00,12:32:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90017
2014-01-01T00:00:00,12:34:39,DWP,Department of Water and Power,DWP Discount Rates,Gave Caller Information,91423
2014-01-01T00:00:00,12:35:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90004
2014-01-01T00:00:00,12:37:05,DOT,Department of Transportation,Parking Citation - Contest,Transfer (City),90066
2014-01-01T00:00:00,12:38:51,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91304
2014-01-01T00:00:00,12:38:53,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:39:11,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90043
2014-01-01T00:00:00,12:39:14,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90032
2014-01-01T00:00:00,12:39:24,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91602
2014-01-01T00:00:00,12:39:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90020
2014-01-01T00:00:00,12:42:22,LAPD,Los Angeles Police Department,Police Headquarters Facility - LAPD,Transfer (City),90044
2014-01-01T00:00:00,12:45:58,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,91331
2014-01-01T00:00:00,12:46:26,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),91352
2014-01-01T00:00:00,12:47:09,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:47:23,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90043
2014-01-01T00:00:00,12:47:50,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:47:54,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90049
2014-01-01T00:00:00,12:48:35,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91423
2014-01-01T00:00:00,12:48:39,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,12:51:39,,,,Gave Caller Information,90006
2014-01-01T00:00:00,12:52:04,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,12:52:14,,,,Info Not Available (Non-City),90037
2014-01-01T00:00:00,12:52:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91601
2014-01-01T00:00:00,12:53:18,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,12:53:40,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90068
2014-01-01T00:00:00,12:53:56,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91423
2014-01-01T00:00:00,12:54:16,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:54:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90017
2014-01-01T00:00:00,12:54:48,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91325
2014-01-01T00:00:00,12:55:58,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91325
2014-01-01T00:00:00,12:56:20,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90068
2014-01-01T00:00:00,12:57:06,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),90041
2014-01-01T00:00:00,12:57:09,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,12:57:11,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,12:57:35,BPW,PW/Board of Public Works,PW/Personnel/Empl Relations/ Street Services & Street Lighting.,Transfer (City),90024
2014-01-01T00:00:00,12:57:44,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91423
2014-01-01T00:00:00,12:58:24,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91604
2014-01-01T00:00:00,12:58:32,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90025
2014-01-01T00:00:00,12:58:44,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,12:59:11,LADBS,Department of Building and Safety,Online Request for Permit Inspection,Service Request Processed,91602
2014-01-01T00:00:00,12:59:24,LADBS,Department of Building and Safety,Inspection of Plumbing,Gave Caller Information,90275
2014-01-01T00:00:00,12:59:28,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90744
2014-01-01T00:00:00,12:59:34,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,13:00:24,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91325
2014-01-01T00:00:00,13:02:14,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90003
2014-01-01T00:00:00,13:02:34,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,13:02:56,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90059
2014-01-01T00:00:00,13:02:59,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91423
2014-01-01T00:00:00,13:03:06,,,,Caller Hung Up,
2014-01-01T00:00:00,13:03:13,,,,Caller Hung Up,99999
2014-01-01T00:00:00,13:03:33,ANI,Department of Animal Services,Animal Service Centers,Gave Caller Information,90003
2014-01-01T00:00:00,13:05:12,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90046
2014-01-01T00:00:00,13:05:13,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90036
2014-01-01T00:00:00,13:05:29,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91316
2014-01-01T00:00:00,13:05:47,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,90066
2014-01-01T00:00:00,13:06:23,LAFD,Los Angeles Fire Department,Fire Dept. Fire Station Locations,Gave Caller Information,90028
2014-01-01T00:00:00,13:06:23,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90006
2014-01-01T00:00:00,13:06:31,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90305
2014-01-01T00:00:00,13:06:43,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90044
2014-01-01T00:00:00,13:07:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90044
2014-01-01T00:00:00,13:07:44,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90068
2014-01-01T00:00:00,13:09:53,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),99999
2014-01-01T00:00:00,13:10:25,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91423
2014-01-01T00:00:00,13:10:28,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,13:10:43,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),90041
2014-01-01T00:00:00,13:11:42,,,,Caller Hung Up,
2014-01-01T00:00:00,13:11:50,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90066
2014-01-01T00:00:00,13:12:31,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90035
2014-01-01T00:00:00,13:13:04,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Transfer (City),99999
2014-01-01T00:00:00,13:13:57,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90066
2014-01-01T00:00:00,13:14:16,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90012
2014-01-01T00:00:00,13:16:09,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,13:17:40,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91367
2014-01-01T00:00:00,13:19:09,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90034
2014-01-01T00:00:00,13:21:13,,,,Caller Hung Up,
2014-01-01T00:00:00,13:23:36,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90006
2014-01-01T00:00:00,13:23:50,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91423
2014-01-01T00:00:00,13:24:54,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91405
2014-01-01T00:00:00,13:25:05,LADBS,Department of Building and Safety,Report a Property Violation,Service Request Processed,91423
2014-01-01T00:00:00,13:25:46,BOS,PW/Bureau of Sanitation,Request Sewer Maintenance/Repair,Transfer (City),90039
2014-01-01T00:00:00,13:26:07,LADBS,Department of Building and Safety,Building Trade Licensing,Gave Caller Information,91764
2014-01-01T00:00:00,13:26:42,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91343
2014-01-01T00:00:00,13:26:50,LADBS,Department of Building and Safety,Inspection of Seismic Gas Shut-Off Valve,Gave Caller Information,90272
2014-01-01T00:00:00,13:26:58,DOT,Department of Transportation,Abandoned Vehicles,Gave Caller Information,90006
2014-01-01T00:00:00,13:28:50,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90065
2014-01-01T00:00:00,13:28:52,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91306
2014-01-01T00:00:00,13:30:05,,,,Transfer (City),91307
2014-01-01T00:00:00,13:32:27,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Referred To County,90731
2014-01-01T00:00:00,13:33:34,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Gave Caller Information,90059
2014-01-01T00:00:00,13:34:45,LAPD,Los Angeles Police Department,Communications Division - LAPD,Transfer (City),90064
2014-01-01T00:00:00,13:37:22,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91423
2014-01-01T00:00:00,13:37:45,DOT,Department of Transportation,Parking Enforcement,Transfer (City),90025
2014-01-01T00:00:00,13:39:31,BSS,PW/Bureau of Street Services,Maintenance of Public Street Landscape,Gave Caller Information,90036
2014-01-01T00:00:00,13:40:14,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91423
2014-01-01T00:00:00,13:40:41,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,91325
2014-01-01T00:00:00,13:43:16,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,90291
2014-01-01T00:00:00,13:44:28,DOT,Department of Transportation,Parking Enforcement,Gave Caller Information,90036
2014-01-01T00:00:00,13:44:42,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90003
2014-01-01T00:00:00,13:45:17,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,13:45:18,BOS,PW/Bureau of Sanitation,Replacement/Repair of Curbside Trash Containers,Gave Caller Information,91311
2014-01-01T00:00:00,13:46:30,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91343
2014-01-01T00:00:00,13:46:57,BOS,PW/Bureau of Sanitation,Landfill Information,Gave Caller Information,90731
2014-01-01T00:00:00,13:48:19,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91601
2014-01-01T00:00:00,13:48:36,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90012
2014-01-01T00:00:00,13:48:38,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91306
2014-01-01T00:00:00,13:48:52,,,,Gave Caller Information,90201
2014-01-01T00:00:00,13:49:45,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90062
2014-01-01T00:00:00,13:49:47,,,,Gave Caller Information,90275
2014-01-01T00:00:00,13:50:56,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91304
2014-01-01T00:00:00,13:51:25,,,,Caller Hung Up,
2014-01-01T00:00:00,13:51:37,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),90046
2014-01-01T00:00:00,13:53:22,BOS,PW/Bureau of Sanitation,Sewer Odor Control,Transfer (City),99999
2014-01-01T00:00:00,13:53:30,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91306
2014-01-01T00:00:00,13:54:08,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91303
2014-01-01T00:00:00,13:54:21,,,,Caller Hung Up,90025
2014-01-01T00:00:00,13:55:44,,,,Static/Ghost Call,
2014-01-01T00:00:00,13:56:09,,,,Caller Hung Up,
2014-01-01T00:00:00,13:56:42,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,13:57:50,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91335
2014-01-01T00:00:00,13:58:26,ITA,Information Technology Agency,MyLA311: Mobile Phone Application,Gave Caller Information,91367
2014-01-01T00:00:00,13:59:27,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),99999
2014-01-01T00:00:00,14:00:29,,,,Caller Hung Up,
2014-01-01T00:00:00,14:01:22,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,14:03:26,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,14:03:27,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90020
2014-01-01T00:00:00,14:05:16,DOT,Department of Transportation,Parking Enforcement,Transfer (City),91107
2014-01-01T00:00:00,14:06:59,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90043
2014-01-01T00:00:00,14:08:57,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90012
2014-01-01T00:00:00,14:12:07,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91306
2014-01-01T00:00:00,14:15:25,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91331
2014-01-01T00:00:00,14:17:00,DWP,Department of Water and Power,Emergency Service/Trouble Requests,Transfer (City),91423
2014-01-01T00:00:00,14:17:07,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,14:18:02,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90043
2014-01-01T00:00:00,14:18:18,DOT,Department of Transportation,LADOT Comments and Complaints,Got Voicemail (City),99999
2014-01-01T00:00:00,14:18:35,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90018
2014-01-01T00:00:00,14:19:06,LADBS,Department of Building and Safety,Online Request for Permit Inspection,Service Request Processed,90002
2014-01-01T00:00:00,14:19:09,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),91311
2014-01-01T00:00:00,14:19:29,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,14:21:21,LADBS,Department of Building and Safety,Report a Property Violation,Service Request Processed,90023
2014-01-01T00:00:00,14:22:32,,,,Gave Caller Information,99999
2014-01-01T00:00:00,14:24:51,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Gave Caller Information,90732
2014-01-01T00:00:00,14:24:51,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90028
2014-01-01T00:00:00,14:25:41,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91331
2014-01-01T00:00:00,14:27:17,ANI,Department of Animal Services,Animal Service Centers,Transfer (City),90037
2014-01-01T00:00:00,14:27:44,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90034
2014-01-01T00:00:00,14:29:09,LADBS,Department of Building and Safety,Online Request for Permit Inspection,Service Request Processed,90005
2014-01-01T00:00:00,14:29:27,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90011
2014-01-01T00:00:00,14:29:28,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),90016
2014-01-01T00:00:00,14:30:20,DWP,Department of Water and Power,LADWP Central Operator,Transfer (City),91423
2014-01-01T00:00:00,14:30:37,BOS,PW/Bureau of Sanitation,Holiday Trash Collection,Gave Caller Information,90043
2014-01-01T00:00:00,14:31:40,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,14:32:05,,,,Referred To County,90046
2014-01-01T00:00:00,14:33:59,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91647
2014-01-01T00:00:00,14:34:07,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90047
2014-01-01T00:00:00,14:34:32,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,91352
2014-01-01T00:00:00,14:36:25,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90026
2014-01-01T00:00:00,14:36:29,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91364
2014-01-01T00:00:00,14:37:22,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),99999
2014-01-01T00:00:00,14:37:41,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91304
2014-01-01T00:00:00,14:39:27,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90057
2014-01-01T00:00:00,14:39:28,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,91331
2014-01-01T00:00:00,14:42:06,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90016
2014-01-01T00:00:00,14:42:38,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,14:44:12,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90032
2014-01-01T00:00:00,14:44:30,LAPD,Los Angeles Police Department,Police Stations (Front Desk / Public Counter - 25 locations),Transfer (City),90037
2014-01-01T00:00:00,14:45:09,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90057
2014-01-01T00:00:00,14:47:19,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90057
2014-01-01T00:00:00,14:48:56,DOT,Department of Transportation,Blocked Driveways,Transfer (City),90056
2014-01-01T00:00:00,14:52:30,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Gave Caller Information,91304
2014-01-01T00:00:00,14:54:43,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90047
2014-01-01T00:00:00,14:56:38,LAPD,Los Angeles Police Department,877 ASK-LAPD - Non-emergency Police Service,Transfer (City),90037
2014-01-01T00:00:00,14:57:02,DWP,Department of Water and Power,DWP Discount Rates,Transfer (City),91423
2014-01-01T00:00:00,14:58:37,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90012
2014-01-01T00:00:00,14:58:55,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90004
2014-01-01T00:00:00,14:59:09,LAFD,Los Angeles Fire Department,Fire Dept. Fire Station Locations,Transfer (City),91307
2014-01-01T00:00:00,14:59:49,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90044
2014-01-01T00:00:00,14:59:54,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90005
2014-01-01T00:00:00,15:01:38,DOT,Department of Transportation,Impounded/Towed Vehicle,Transfer (City),91401
2014-01-01T00:00:00,15:02:04,,,,Info Not Available (Non-City),99999
2014-01-01T00:00:00,15:02:05,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90043
2014-01-01T00:00:00,15:02:26,BOS,PW/Bureau of Sanitation,Bulky Item Pick-up,Service Request Processed,90731
2014-01-01T00:00:00,15:04:13,BPW,PW/Board of Public Works,Graffiti Removal - Community Beautification,Service Request Processed,90032
